timestamp_s,x,y,z,qx,qy,qz,qw
1773244216.272665,0.000401,0.000007,0.139435,-0.001519,-0.000989,-0.000175,0.999998
1773244216.307539,0.001040,0.000140,0.139611,-0.003556,-0.000935,-0.000034,0.999993
1773244216.339592,0.001416,0.000066,0.139341,-0.007089,-0.000668,0.000219,0.999975
1773244216.372629,0.002060,-0.000137,0.139358,-0.011521,-0.000514,0.000447,0.999933
1773244216.406736,0.002966,-0.000506,0.139101,-0.015625,-0.000319,0.000617,0.999878
1773244216.438969,0.003327,-0.000951,0.139007,-0.018383,-0.000281,0.000686,0.999831
1773244216.472733,0.004211,-0.001624,0.138829,-0.019993,-0.000193,0.000789,0.999800
1773244216.507956,0.004211,-0.001624,0.138829,-0.019993,-0.000193,0.000789,0.999800
1773244216.538879,0.005594,-0.002992,0.138702,-0.029175,-0.000442,0.001602,0.999573
1773244216.572887,0.006327,-0.003095,0.138955,-0.052183,-0.000783,0.003297,0.998632
1773244216.606930,0.007538,-0.002574,0.141156,-0.100111,0.001329,0.007311,0.994949
1773244216.639229,0.009002,-0.000765,0.143499,-0.184366,0.003934,0.013884,0.982752
1773244216.672588,0.009002,-0.000765,0.143499,-0.184366,0.003934,0.013884,0.982752
1773244216.707401,0.010601,0.001630,0.145944,-0.271808,0.004538,0.020074,0.962131
1773244216.739150,0.012174,0.004707,0.148945,-0.364673,0.003062,0.026052,0.930766
1773244216.772587,0.014746,0.010476,0.155336,-0.472555,0.001003,0.032554,0.880699
1773244216.806718,0.015546,0.011929,0.158017,-0.491616,0.000223,0.033502,0.870167
1773244216.839493,0.017988,0.015365,0.165744,-0.477814,-0.000649,0.031599,0.877893
1773244216.872507,0.019349,0.016161,0.170580,-0.437618,0.002107,0.029054,0.898689
1773244216.906613,0.021662,0.016892,0.177422,-0.385158,0.006829,0.026094,0.922456
1773244216.938922,0.023849,0.017278,0.185082,-0.314791,0.013243,0.022303,0.948807
1773244216.976348,0.023849,0.017278,0.185082,-0.314791,0.013243,0.022303,0.948807
1773244217.006724,0.028297,0.017405,0.201248,-0.235989,0.020575,0.017947,0.971372
1773244217.038974,0.030791,0.016963,0.211573,-0.212105,0.024103,0.017008,0.976802
1773244217.072419,0.032994,0.016612,0.220900,-0.187016,0.026473,0.015735,0.981874
1773244217.107233,0.032994,0.016612,0.220900,-0.187016,0.026473,0.015735,0.981874
1773244217.139178,0.036101,0.015712,0.232831,-0.179494,0.026981,0.015221,0.983271
1773244217.172483,0.041695,0.014950,0.255740,-0.129072,0.025258,0.010804,0.991255
1773244217.214048,0.043687,0.014966,0.262866,-0.112015,0.024968,0.009415,0.993348
1773244217.239413,0.048748,0.015895,0.282703,-0.102776,0.025583,0.008866,0.994336
1773244217.272502,0.048748,0.015895,0.282703,-0.102776,0.025583,0.008866,0.994336
1773244217.307163,0.051767,0.017665,0.294126,-0.129831,0.025311,0.010758,0.991155
1773244217.339325,0.053837,0.020608,0.304799,-0.162682,0.024228,0.012839,0.986298
1773244217.374878,0.056294,0.025091,0.318217,-0.261587,0.018914,0.018520,0.964817
1773244217.412029,0.057308,0.029878,0.328067,-0.363193,0.011781,0.023842,0.931334
1773244217.441394,0.058377,0.035560,0.339216,-0.417488,0.004621,0.025420,0.908315
1773244217.472504,0.059002,0.038027,0.344145,-0.424832,0.002680,0.025195,0.904917
1773244217.506378,0.063505,0.050261,0.372469,-0.277674,0.001294,0.011792,0.960602
1773244217.538925,0.066745,0.054916,0.386289,-0.161539,0.004351,0.002953,0.986852
1773244217.572366,0.066745,0.054916,0.386289,-0.161539,0.004351,0.002953,0.986852
1773244217.607024,0.079103,0.065380,0.415695,-0.173497,-0.018981,0.018279,-0.984482
1773244217.639093,0.085534,0.070710,0.428662,-0.340982,-0.024942,0.028343,-0.939311
1773244217.672449,0.085534,0.070710,0.428662,-0.340982,-0.024942,0.028343,-0.939311
1773244217.706692,0.102640,0.085348,0.457808,-0.693031,-0.028848,0.050646,-0.718548
1773244217.739341,0.102640,0.085348,0.457808,-0.693031,-0.028848,0.050646,-0.718548
1773244217.772543,0.110076,0.094988,0.471191,-0.816769,-0.025411,0.059499,-0.573325
1773244217.806423,0.116775,0.104086,0.481391,-0.877493,-0.023252,0.063676,-0.474774
1773244217.839082,0.124111,0.115062,0.492608,-0.936856,-0.018342,0.068496,-0.342450
1773244217.872484,0.130782,0.125634,0.500947,-0.971131,-0.012799,0.071961,-0.227072
1773244217.907297,0.145379,0.150464,0.517017,-0.995446,-0.003533,0.075789,-0.057710
